"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"성공회 태양광발전소(성공회대학교)","서울시 구로구 연동로 320(항동 1-1, 성공회대학교)","가동중","50","380","60","2014","2022-12-02"
"가락 햇빛발전소 ","서울시 송파구 송파대로 34가길 12(송파동 187-7)","가동중","11.25","220","60","2014","2022-12-02"
"나눔에너지 태양광발전소","서울시 강북구 한천로115길 15(번동 234-3)","가동중","38.25","380","60","2014","2022-12-02"
"태양과바람2호발전소(은평공영차고지)","서울시 은평구 수색로24길 19(수색동 414-1, 은평공영차고지)","가동중","49.5","380","60","2014","2022-12-02"
"서울시차량정비센터 태양광발전소 ","서울시 성동구 가람길 117(송정동 73-36)","가동중","93.6","380","60","2014","2022-12-02"
"신기술창업센터 태양광발전소  ","서울시 강서구 공항대로61길 29(등촌동 647-26)","가동중","97.2","380","60","2014","2022-12-02"
"대호 태양광발전소","서울시 은평구 갈현로 29길 8-9(갈현동 448-19)","가동중","12","220","60","2014","2022-12-02"
"덕산 태양광발전소","서울시 관악구 호암로22길2(신림동 1559)","가동중","19.4","380","60","2014","2022-12-02"
"㈜강산씨앤디 태양광발전소 제2호","서울시 강서구 화곡로140(화곡동 1073-10 외 12필지)","가동중","60.42","380","60","2015","2022-12-02"
" 예수교대한성결교회성지교회","서울시 강서구 양천로26길 66(방화1동 168-19)","가동중","30","380","60","2014","2022-12-02"
"묵동 태양광발전소","서울시 중랑구 공릉로18길 68(묵동 48-22)","가동중","10","220","60","2014","2022-12-02"
"고암 태양광발전소","서울시 노원구 상계동 1167-10 외 1필지","가동중","29.7","380","60","2014","2022-12-02"
"강남지사 태양광발전소","서울시 강남구 수서동 752","가동중","424.8","380","60","2021","2022-12-02"
"탑동 햇빛발전소(탑동초교)","서울시 금천구 탑골로 47-3(시흥동 230, 탑동초교)","가동중","82.35","380","60","2015","2022-12-02"
"수서중학교 태양광발전소","서울시 강남구 광평로 59길 57(수서동 710, 수서중학교)","가동중","74.2","380","60","2015","2022-12-02"
"문현중학교 태양광발전소","서울시 송파구 충민로 99(장지동 838-3, 문현중학교)","가동중","51.675","380","60","2015","2022-12-02"
"서울배봉초등학교 태양광발전소","서울시 동대문구 사가정로 193(전농동 3-111, 서울배봉초등학교)","가동중","74.2","380","60","2015","2022-12-02"
"정풍전산폼 태양광발전소","서울시 금천구 두산로 5-3(독산동 336-35)","가동중","64.8","380","60","2015","2022-12-02"
"SE-BM-S1 태양광발전소","서울시 성북구 안암로3길 67(보문동4가 102-1)","가동중","34.8","380","60","2016","2022-12-02"
"팜파스 햇빛발전","서울시 관악구 신림로73길 11-10(신림동 1429-33,34)","가동중","19","380","60","2015","2022-12-02"
"사파리 태양광발전소","서울시 관악구 은천로12(봉천동 957-5)","가동중","14.88","380","60","2015","2022-12-02"
"대림파워쏠라 태양광발전소","서울시 중랑구 상봉로12길 33(망우동 529-23)","가동중","10.92","220","60","2015","2022-12-02"
"도봉시민햇빛나눔발전소 1호기(도봉문화정보도서관)","서울시 도봉구 덕릉로 315(창동 418, 도봉문화정보도서관)","가동중","19.8","220","60","2014","2022-12-02"
"한남 태양광발전소","서울시 용산구 한남대로 8길 7(한남동 382)","가동중","12","220","60","2017","2022-12-02"
"한화솔루션㈜ 양재 태양광 발전소","서울시 서초구 양재동 225-1외 5필지, 원지동 10-7외 1필지, 옥외주차장","가동중","91.8","380","60","2015","2022-12-02"
"만남 태양광발전소","서울시 서초구 양재동 225-1, 225-10(옥외주차장)","가동중","55.8","380","60","2015","2022-12-02"
"송천 햇빛발전소(원불교 송천교당)","서울시 강북구 장위로4길 5(장위동 231-227)","가동중","12.24","220","60","2014","2022-12-02"
"미하임 태양광발전소","서울시 강남구 도산대로8길 20-4(논현동 16-28)","가동중","5.13","380","60","2015","2022-12-02"
"염리동 태양광발전소","서울시 마포구 대흥로 24길 23(염리동 10-81)","가동중","18","220","60","2015","2022-12-02"
"영남 햇빛발전소(영남초등학교)","서울시 금천구 문성로 62-15(독산동 59-27 영남초등학교)","가동중","81.13","380","60","2015","2022-12-02"
"베뉴에스 태양광발전소","서울시 마포구 와우산로27길 7(서교동 338-1, 338-2)","가동중","8.48","220","60","2015","2022-12-02"
